Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"This is the Zodiac Speaking
",XOne,Adventure,Unknown,Punch Punk Games,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 20,N/A
"Sagebrush
",XOne,Adventure,Unknown,Redact Games,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Aug 19,N/A
"What Happened
",PC,Adventure,Unknown,Genius Slackers,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 20,N/A
"Fight Night Champion
",PS3,Fighting,EA Sports,EA Canada,9.3,8.4,N/A,N/A,1.13,0.45,0.50,N/A,0.18,01st Mar 11,N/A,2011
"Super Smash Bros. Brawl
",Wii,Fighting,Nintendo,Project Sora,9.2,9.2,9.7,13.32,N/A,N/A,N/A,N/A,N/A,09th Mar 08,N/A,2008
"Super Street Fighter IV
",PS3,Fighting,Capcom,Capcom / Dimps Corporation,9.2,9.3,N/A,1.15,N/A,N/A,N/A,N/A,N/A,27th Apr 10,N/A,2010
"Street Fighter IV
",PS3,Fighting,Capcom,Capcom / Dimps Corporation,9.1,9.3,9,N/A,4.19,2.04,1.05,0.59,0.52,17th Feb 09,N/A,2009
"Street Fighter IV
",X360,Fighting,Capcom,Capcom / Dimps Corporation,9.1,9.3,9.3,N/A,2.95,1.83,0.70,0.15,0.26,17th Feb 09,N/A,2009
"Super Smash Bros. Ultimate
",NS,Fighting,Nintendo,Bandai Namco Games,9,9.4,9.7,30.44,N/A,N/A,N/A,N/A,N/A,07th Dec 18,02nd Oct 22,2018
"Super Street Fighter II Turbo: HD Remix
",XBL,Fighting,Capcom,Backbone Emeryville,9,8.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 08,N/A,2008
"UFC Undisputed 3
",PS3,Fighting,THQ,Yukie's Osaka,9,N/A,N/A,N/A,1.05,0.55,0.33,0.03,0.14,14th Feb 12,N/A,2012
"Dissidia: Final Fantasy
",PSP,Fighting,Square Enix,Square Enix,8.9,8.1,10,1.90,N/A,N/A,N/A,N/A,N/A,25th Aug 09,N/A,2009
"Tekken: Dark Resurrection
",PSP,Fighting,Namco Bandai,8ing/Raizing,8.9,8.7,N/A,3.37,N/A,N/A,N/A,N/A,N/A,25th Jul 06,N/A,2006
"Persona 4 Arena
",PS3,Fighting,Atlus,Arc System Works,8.9,N/A,N/A,N/A,0.77,0.32,0.12,0.24,0.08,07th Aug 12,11th Jan 18,2012
"Ultimate Marvel vs. Capcom 3
",PS3,Fighting,Capcom,Capcom,8.8,N/A,N/A,N/A,0.10,N/A,0.04,0.04,0.01,15th Nov 11,N/A,2011
"Virtua Fighter 5 Online
",X360,Fighting,Sega,Sega-AM2,8.7,9.2,N/A,N/A,0.28,0.20,0.02,0.03,0.02,30th Oct 07,N/A,2007
"Super Street Fighter IV: 3D Edition
",3DS,Fighting,Capcom,Capcom,8.7,8.5,N/A,1.30,N/A,N/A,N/A,N/A,N/A,27th Mar 11,N/A,2011
"Dissidia 012: Duodecim Final Fantasy
",PSN,Fighting,Square Enix,Square Enix,8.6,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Mar 11,N/A,2011
"Super Smash Bros. for 3DS
",3DS,Fighting,Nintendo,Bandai Namco Games,8.6,8.4,N/A,9.64,N/A,N/A,N/A,N/A,N/A,03rd Oct 14,11th Apr 18,2014
"Guilty Gear -Strive-
",PS5,Fighting,Unknown,Arc System Works,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Mar 21,N/A
"Mortal Kombat (2011)
",PS3,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.5,8.5,N/A,N/A,2.90,1.98,0.54,N/A,0.38,19th Apr 11,06th Jan 18,2011
"PlayStation All-Stars Battle Royale
",PS3,Fighting,Sony Computer Entertainment,SuperBot Entertainment,8.5,N/A,N/A,N/A,0.99,0.50,0.28,0.04,0.16,20th Nov 12,12th Jan 18,2012
