Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"Animal Crossing: New Horizons
",NS,Simulation,Nintendo,Nintendo,8,N/A,N/A,41.59,N/A,N/A,N/A,N/A,N/A,20th Mar 20,11th Apr 20,2020
"GORN
",PC,Simulation,Unknown,Free Lives,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jul 19,N/A
"Overcooked! 2
",NS,Simulation,Sold Out,Ghost Town Games,8,8.4,N/A,N/A,0.29,0.17,0.09,0.01,0.03,07th Aug 18,14th Jun 18,2018
"Spiritfarer
",NS,Simulation,Thunder Lotus Games,Thunder Lotus Games,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Aug 20,06th Aug 19,2020
"EyePet
",PS3,Simulation,Sony Computer Entertainment,SCEE London Studio,7.8,6.9,N/A,N/A,1.01,0.37,0.52,0.04,0.09,17th Sep 10,N/A,2010
"Dawn of Discovery
",Wii,Simulation,Ubisoft,Sunflowers Interactive,7.8,7.9,N/A,N/A,0.19,0.12,0.06,N/A,0.01,23rd Jun 09,N/A,2009
"Nintendogs + cats
",3DS,Simulation,Nintendo,Nintendo EAD,7.7,7.2,N/A,4.68,N/A,N/A,N/A,N/A,N/A,27th Mar 11,N/A,2011
"Trauma Team
",Wii,Simulation,Atlus,Atlus Co.,7.3,8.1,N/A,N/A,0.17,0.14,N/A,0.02,0.01,18th May 10,N/A,2010
"Kinectimals
",X360,Simulation,Microsoft Game Studios,Frontier Studio,7.2,7.5,N/A,N/A,1.62,1.02,0.46,0.00,0.14,04th Nov 10,N/A,2010
"Planet Zoo
",PC,Simulation,Frontier Developments,Frontier Developments,7,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,05th Nov 19,02nd Jun 19,2019
"Star Wars Pinball
",NS,Simulation,Unknown,Zen Studios,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 19,N/A
"Untitled Goose Game
",NS,Simulation,Panic,House House,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Sep 19,13th Sep 19,2019
"Ursa Hollows
",iOS,Simulation,Unknown,Carvine Software,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 22,N/A
"Armored Core V
",PS3,Simulation,Namco Bandai,From Software,6.9,N/A,N/A,N/A,0.40,0.09,0.04,0.24,0.02,20th Mar 12,N/A,2012
"Tropico 5
",PC,Simulation,Kalypso Media,Haemimont Games,6.8,N/A,N/A,N/A,0.14,0.04,0.09,N/A,0.01,01st Jan 15,20th Aug 18,2015
"Animal Crossing: City Folk
",Wii,Simulation,Nintendo,Nintendo EAD,6.8,7.1,8.8,4.32,N/A,N/A,N/A,N/A,N/A,16th Nov 08,N/A,2008
"Armored Core: For Answer
",PS3,Simulation,Ubisoft,From Software,6.8,6.1,N/A,N/A,0.19,0.06,0.02,0.10,0.01,16th Sep 08,N/A,2008
"Story of Seasons: Pioneers of Olive Town
",NS,Simulation,Marvelous,Marvelous,6.5,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,26th Mar 21,10th Feb 21,2021
"flOw
",PSN,Simulation,Sony Computer Entertainment,thatgamecompany,6.4,7.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Feb 07,N/A,2007
"PilotWings Resort
",3DS,Simulation,Nintendo,Monster Games,6.1,6.9,N/A,N/A,0.96,0.40,0.36,0.13,0.07,27th Mar 11,N/A,2011
"This War of Mine: Complete Edition
",NS,Simulation,Unknown,11 bit studios,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Nov 18,N/A
"Jane's Hotel
",PSN,Simulation,Beatshapers,Beatshapers,5.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Dec 10,N/A,2010
"The Sims 4
",PC,Simulation,Electronic Arts,Maxis,5.8,7,N/A,N/A,4.10,1.20,2.60,N/A,0.30,02nd Sep 14,29th Dec 17,2014
"Need a Packet?
",PSV,Simulation,Unknown,Marginal act,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Jul 20,N/A
"Cooking Mama 4: Kitchen Magic!
",3DS,Simulation,Majesco,Cooking Mama Ltd.,5.3,N/A,N/A,N/A,0.63,0.50,0.07,N/A,0.06,15th Nov 11,N/A,2011
"Hyperdimension Idol Neptunia PP
",PSV,Simulation,Namco Bandai Games,Idea Factory,5,N/A,N/A,N/A,0.10,0.02,0.02,0.04,0.01,03rd Jun 14,22nd Jun 18,2014
"Gal Gun 2
",PS4,Simulation,PQube,Inti Creates,4,N/A,N/A,N/A,0.01,N/A,N/A,0.01,N/A,24th Apr 18,04th Mar 18,2018
"Aero Porter
",3DS,Simulation,Level 5,VIVARIUM Inc.,3.8,7.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Nov 12,12th Apr 18,2012
"America's Next Top Model
",DS,Simulation,Conspiracy Entertainment,Independent Arts Software,3.5,N/A,N/A,N/A,0.10,0.10,0.00,N/A,0.01,01st Jun 10,N/A,2010
"Farming Simulator 2011
",PC,Simulation,Unknown,Giants Software,2.8,N/A,N/A,0.10,N/A,N/A,N/A,N/A,N/A,29th Oct 10,N/A,2010
"RollerCoaster Tycoon 3D
",3DS,Simulation,Unknown,n-Space,2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Aug 22,N/A
"Aabs Animals
",PSV,Simulation,Unknown,Aabs,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Aug 22,N/A
"FIFA 13
",X360,Sports,EA Sports,EA Canada,9.3,N/A,N/A,N/A,5.11,1.10,3.49,0.03,0.50,25th Sep 12,06th Apr 18,2012
"FIFA Soccer 10
",PS3,Sports,EA Sports,EA Canada,9,9,N/A,N/A,3.63,0.60,2.46,0.05,0.52,20th Oct 09,N/A,2009
"FIFA Soccer 10
",X360,Sports,EA Sports,EA Canada,9,8.9,N/A,N/A,2.62,0.60,1.79,0.01,0.23,20th Oct 09,N/A,2009
"NHL 12
",X360,Sports,EA Sports,EA Canada,9,8.8,N/A,N/A,0.70,0.55,0.10,N/A,0.05,13th Sep 11,N/A,2011
"What the Golf?
",NS,Sports,Tribute Games,Triband,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st May 20,20th May 20,2020
"XCOM: Enemy Unknown
",X360,Sports,2K Games,Firaxis Games,9,8.8,N/A,N/A,0.63,0.36,0.22,N/A,0.06,09th Oct 12,22nd Mar 18,2012
"MLB 12: The Show
",PS3,Sports,Sony Computer Entertainment America,SCE San Diego Studio,8.9,N/A,N/A,N/A,0.93,0.86,N/A,N/A,0.07,06th Mar 12,N/A,2012
"FIFA 15
",PS4,Sports,EA Sports,EA Canada,8.8,8.1,N/A,N/A,6.32,0.83,4.49,0.05,0.94,23rd Sep 14,23rd Mar 18,2014
"NHL 11
",PS3,Sports,EA Sports,EA Canada,8.8,8.8,N/A,N/A,0.59,0.40,0.13,N/A,0.07,07th Sep 10,N/A,2010
"NBA 2K9
",PS3,Sports,2K Sports,Visual Concepts,8.8,8.3,N/A,N/A,0.62,0.56,0.00,0.00,0.05,07th Oct 08,N/A,2008
"Tiger Woods PGA Tour 10
",Wii,Sports,EA Sports,EA Tiburon,8.8,9,N/A,N/A,1.07,0.60,0.37,N/A,0.10,08th Jun 09,N/A,2009
"Wii Sports Resort
",Wii,Sports,Nintendo,Nintendo EAD,8.8,8,8.8,33.14,N/A,N/A,N/A,N/A,N/A,26th Jul 09,N/A,2009
"Tiger Woods PGA Tour 14
",PS3,Sports,EA Sports,EA Tiburon,8.7,N/A,N/A,N/A,0.39,0.16,0.16,N/A,0.06,26th Mar 13,16th Oct 18,2013
"FIFA Soccer 11
",PS3,Sports,EA Sports,EA Canada,8.6,8.7,N/A,N/A,5.08,0.61,3.28,0.06,1.12,28th Sep 10,N/A,2010
"Sports Champions
",PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,8.6,7.6,N/A,N/A,3.88,2.15,1.13,0.10,0.50,17th Sep 10,N/A,2010
"Tiger Woods PGA Tour 11
",Wii,Sports,EA Sports,EA Tiburon,8.6,8.3,N/A,N/A,0.54,0.23,0.26,N/A,0.05,08th Jun 10,N/A,2010
"Madden NFL 10
",PS3,Sports,EA Sports,EA Tiburon,8.6,8.5,N/A,N/A,2.37,2.03,0.13,N/A,0.21,14th Aug 09,N/A,2009
"Madden NFL 10
",X360,Sports,EA Sports,EA Tiburon,8.6,8.6,N/A,N/A,2.83,2.52,0.09,N/A,0.22,14th Aug 09,N/A,2009
"NHL 10
",PS3,Sports,EA Sports,EA Canada,8.6,9.1,N/A,N/A,0.57,0.38,0.12,N/A,0.07,15th Sep 09,N/A,2009
"NHL 10
",X360,Sports,EA Sports,EA Canada,8.6,9.1,N/A,N/A,0.66,0.51,0.10,N/A,0.06,15th Sep 09,N/A,2009
"Hustle Kings
",PSN,Sports,Sony Computer Entertainment,VooFoo Studios,8.5,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 10,25th Sep 18,2010
"MLB 09: The Show
",PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,8.5,8.9,N/A,N/A,0.72,0.66,N/A,N/A,0.06,03rd Mar 09,04th Dec 18,2009
"Shaun White Snowboarding: Road Trip
",Wii,Sports,Ubisoft,Ubisoft Montreal,8.5,7.8,N/A,N/A,1.66,0.93,0.56,N/A,0.16,16th Nov 08,N/A,2008
"NHL 13
",PS3,Sports,Electronic Arts,EA Canada,8.4,8.3,N/A,N/A,0.66,0.33,0.23,N/A,0.10,11th Sep 12,21st Mar 18,2012
"Football Manager 2013
",PC,Sports,Sega,Sports Interactive,8.3,N/A,N/A,N/A,1.06,N/A,0.96,N/A,0.10,01st Nov 12,05th Jan 18,2012
"Madden NFL 13
",X360,Sports,EA Sports,EA Tiburon,8.3,8,N/A,N/A,2.93,2.53,0.16,N/A,0.24,28th Aug 12,04th Jan 18,2012
"NBA 2K14
",PS4,Sports,2K Sports,Visual Concepts,8.3,N/A,N/A,N/A,1.54,0.91,0.35,0.01,0.27,15th Nov 13,05th Jan 18,2013
"Madden NFL 11
",PS3,Sports,EA Sports,EA Tiburon,8.2,8.4,N/A,N/A,2.40,2.05,0.15,N/A,0.20,10th Aug 10,N/A,2010
"SSX
",PS3,Sports,EA Sports,EA Canada,8.2,N/A,N/A,N/A,0.92,0.35,0.42,0.02,0.13,28th Feb 12,N/A,2012
"Hot Shots Tennis: Get a Grip
",PSP,Sports,Sony Computer Entertainment,Clap Hanz,8.1,8,N/A,N/A,0.23,0.08,0.00,0.13,0.02,29th Jun 10,N/A,2010
"NCAA Football 11
",PS3,Sports,EA Sports,EA Tiburon,8.1,8.5,N/A,N/A,0.85,0.79,N/A,N/A,0.06,13th Jul 10,N/A,2010
"Skate 2
",PS3,Sports,Electronic Arts,EA Black Box,8.1,8.2,N/A,N/A,0.84,0.46,0.25,0.01,0.12,21st Jan 09,N/A,2009
"Skate 2
",X360,Sports,Electronic Arts,EA Black Box,8.1,8.2,N/A,N/A,1.09,0.82,0.17,0.01,0.09,21st Jan 09,N/A,2009
"FIFA Football
",PSV,Sports,EA Sports,EA Canada,8,N/A,N/A,N/A,0.12,0.02,0.09,N/A,0.02,27th Sep 11,16th Nov 18,2011
"Mario Golf: World Tour
",3DS,Sports,Nintendo,Camelot Software Planning,8,8.1,N/A,N/A,0.49,0.14,0.15,0.18,0.03,02nd May 14,09th Jan 18,2014
"OlliOlli2: Welcome to Olliwood
",PSV,Sports,Roll7,Roll7,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Mar 15,05th Apr 19,2015
"Party Wave
",iOS,Sports,Unknown,Mistwalker,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 22,N/A
"Pro Evolution Soccer 2015
",PS4,Sports,Konami Digital Entertainment,PES Productions,8,N/A,N/A,N/A,0.76,0.09,0.45,0.12,0.10,11th Nov 14,14th Apr 18,2014
"Skate
",PS3,Sports,Electronic Arts,EA Black Box,8,N/A,N/A,N/A,0.37,0.29,0.04,0.00,0.03,24th Sep 07,N/A,2007
"Tony Hawk's Pro Skater 1 + 2
",XOne,Sports,Activision,Vicarious Visions,8,N/A,8.6,N/A,N/A,N/A,N/A,N/A,N/A,04th Sep 20,31st Jan 21,2020
"Wii Fit
",Wii,Sports,Nintendo,Nintendo EAD,8,7.9,N/A,22.67,N/A,N/A,N/A,N/A,N/A,21st May 08,N/A,2008
"Madden NFL 12
",PS3,Sports,EA Sports,EA Tiburon,7.9,7.8,N/A,N/A,2.27,1.93,0.15,N/A,0.18,30th Aug 11,N/A,2011
"Madden NFL 13
",PSV,Sports,EA Sports,EA Tiburon,7.8,6.2,N/A,N/A,0.35,0.28,N/A,N/A,0.07,28th Aug 12,04th Jan 18,2012
"Skate 3
",PS3,Sports,EA Sports,EA Black Box,7.7,N/A,N/A,N/A,2.03,0.79,0.93,N/A,0.32,11th May 10,N/A,2010
"Skate 3
",X360,Sports,EA Sports,EA Black Box,7.7,8.3,N/A,N/A,2.71,1.47,0.99,N/A,0.25,11th May 10,N/A,2010
"Football Manager 2012
",PC,Sports,Sega,Sega,7.6,8.5,N/A,N/A,1.50,0.02,1.16,N/A,0.32,21st Oct 11,N/A,2011
"MLB 13: The Show
",PSV,Sports,Sony Computer Entertainment America,SCE San Diego Studio,7.6,7.6,N/A,N/A,0.15,0.11,N/A,N/A,0.04,05th Mar 13,14th Mar 18,2013
"OlliOlli
",PSV,Sports,Roll7,Roll7,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Jan 14,05th Apr 19,2014
"FIFA Soccer 12
",3DS,Sports,EA Sports,EA Canada,7.4,7,N/A,N/A,0.39,0.08,0.27,N/A,0.04,27th Sep 11,N/A,2011
"Grand Slam Tennis 2
",X360,Sports,EA Sports,EA Sports,7.4,N/A,N/A,N/A,0.18,0.10,0.06,N/A,0.02,14th Feb 12,N/A,2012
"High Velocity Bowling
",PSN,Sports,Sony Computer Entertainment,Team Ramrod,7.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Dec 07,N/A,2007
"Tony Hawk's Pro Skater HD
",X360,Sports,Unknown,Robomodo,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 22,N/A
"Skate it
",Wii,Sports,Electronic Arts,EA Montreal,7.2,6.6,N/A,N/A,0.58,0.50,0.03,N/A,0.04,19th Nov 08,N/A,2008
"Skate it
",DS,Sports,Electronic Arts,Exient Entertainment,7.1,N/A,N/A,N/A,0.17,0.14,0.02,N/A,0.01,19th Nov 08,N/A,2008
"Mario & Sonic at the London 2012 Olympic Games
",Wii,Sports,Sega,Sega,7.1,6.8,N/A,2.39,N/A,N/A,N/A,N/A,N/A,15th Nov 11,N/A,2011
"NHL Slapshot
",Wii,Sports,EA Sports,EA Canada,7.1,7.6,N/A,N/A,0.42,0.39,N/A,N/A,0.03,07th Sep 10,N/A,2010
"Disco Dodgeball Remix
",NS,Sports,Unknown,Zen Studios,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th May 18,N/A
"Kinect Sports: Season Two
",X360,Sports,Microsoft Studios,Rare Ltd.,7,6.6,N/A,N/A,2.33,1.38,0.72,0.02,0.21,25th Oct 11,N/A,2011
"Mario & Sonic at the London 2012 Olympic Games
",3DS,Sports,Sega,Sega,7,6.5,N/A,N/A,1.19,0.18,0.66,0.27,0.08,14th Feb 12,N/A,2012
"Mario & Sonic at the Tokyo 2020 Olympic Games
",NS,Sports,Sega,Sega,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Nov 19,12th Jun 19,2019
"Mario Tennis Aces
",NS,Sports,Nintendo,Camelot Software Planning,7,7.8,N/A,4.28,N/A,N/A,N/A,N/A,N/A,22nd Jun 18,14th Jun 18,2018
"NBA Jam
",Wii,Sports,EA Sports,EA Canada,7,8,N/A,N/A,0.41,0.36,0.02,N/A,0.02,05th Oct 10,N/A,2010
"Shaun White Snowboarding
",PS3,Sports,Ubisoft,Ubisoft Montreal,7,6,N/A,N/A,0.66,0.31,0.24,0.01,0.10,16th Nov 08,N/A,2008
"Shaun White Snowboarding
",X360,Sports,Ubisoft,Ubisoft Montreal,7,6.2,N/A,N/A,0.81,0.48,0.25,0.00,0.08,16th Nov 08,N/A,2008
"Windjammers 2
",NS,Sports,DotEmu,DotEmu,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,17th Jun 19,2020
"Your Shape: Fitness Evolved
",X360,Sports,Ubisoft,Ubisoft Montreal,7,7,N/A,2.00,N/A,N/A,N/A,N/A,N/A,04th Nov 10,N/A,2010
"FIFA Street (2012)
",X360,Sports,EA Sports,EA Canada,6.8,N/A,N/A,N/A,0.93,0.21,0.63,N/A,0.10,13th Mar 12,31st Jan 18,2012
"Virtua Tennis 4
",Wii,Sports,Sega,Sega-AM2,6.8,5.2,N/A,N/A,0.14,0.05,0.08,N/A,0.01,10th May 11,N/A,2011
"NBA 2K10
",Wii,Sports,2K Sports,Visual Concepts,6.8,5.1,N/A,N/A,0.37,0.34,0.00,N/A,0.03,09th Nov 09,N/A,2009
"Kinect Sports Rivals
",XOne,Sports,Microsoft Studios,Rare Ltd.,6.7,N/A,N/A,N/A,0.62,0.30,0.25,0.02,0.05,08th Apr 14,25th Sep 18,2014
"Knockout City
",XS,Sports,Unknown,Velan Studios,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 21,N/A
"Mario Tennis Open
",3DS,Sports,Nintendo,Camelot Software Planning,6.5,6.6,N/A,1.58,N/A,N/A,N/A,N/A,N/A,20th May 12,03rd May 19,2012
"Supersonic Acrobatic Rocket-Powered Battle-Cars
",PSN,Sports,Psyonix,Psyonix Studios,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Oct 08,N/A,2008
"The BIGS 2
",Wii,Sports,2K Sports,Blue Castle Games,6.1,6.3,N/A,N/A,0.29,0.26,0.01,N/A,0.02,07th Jul 09,N/A,2009
"ClusterPuck 99
",NS,Sports,Coatsink Software,PHL Collective,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 18,23rd Mar 18,2018
"Roller Champions
",XOne,Sports,Unknown,Ubisoft Montreal,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jun 22,N/A
"Super Blood Hockey
",NS,Sports,Digerati,Loren Lemcke,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Apr 19,23rd Apr 19,2019
"Virtua Tennis 4
",PS3,Sports,Sega,Sega-AM2,6,6.4,N/A,N/A,0.45,0.09,0.24,0.03,0.08,10th May 11,N/A,2011
"Mario Sports Mix
",Wii,Sports,Nintendo,Square Enix,5.9,6,N/A,1.98,N/A,N/A,N/A,N/A,N/A,07th Feb 11,N/A,2011
"Pro Evolution Soccer 2014
",X360,Sports,Konami Digital Entertainment,Konami,5.8,7.9,N/A,N/A,0.25,0.08,0.16,N/A,0.02,24th Sep 13,02nd Mar 18,2013
"Mario Strikers: Battle League
",NS,Sports,Nintendo,Nintendo,5.5,N/A,N/A,2.47,N/A,N/A,N/A,N/A,N/A,10th Jun 22,09th Feb 22,2022
"NHL 14
",PS3,Sports,EA Sports,EA Canada,5.5,N/A,N/A,N/A,0.57,0.28,0.19,N/A,0.10,10th Sep 13,23rd Sep 18,2013
"Academy of Champions: Soccer
",Wii,Sports,Ubisoft,Ubisoft Vancouver,5.2,7.1,N/A,N/A,0.12,0.09,0.02,N/A,0.01,03rd Nov 09,N/A,2009
"Brunswick Pro Bowling
",3DS,Sports,Crave Entertainment,Crave Entertainment,5,N/A,N/A,N/A,0.12,0.11,N/A,N/A,0.01,20th Sep 11,N/A,2011
"Disc Jam
",NS,Sports,High Horse Entertainment,High Horse Entertainment,5,N/A,4.9,N/A,N/A,N/A,N/A,N/A,N/A,08th Feb 18,12th Feb 18,2018
"Mario Golf: Super Rush
",NS,Sports,Nintendo,Camelot Software Planning,5,N/A,N/A,2.35,N/A,N/A,N/A,N/A,N/A,25th Jun 21,17th Feb 21,2021
"Tennis 1920s
",NS,Sports,Unknown,Helium9 Games,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Jul 20,N/A
"Ultra Space Battle Brawl
",NS,Sports,Unknown,Mojiken Studio,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Aug 18,N/A
"FIFA Soccer 13
",PSV,Sports,EA Sports,EA Canada,4.9,N/A,N/A,N/A,0.46,N/A,0.32,0.05,0.10,25th Sep 12,06th Apr 18,2012
"HyperBrawl Tournament
",PC,Sports,Unknown,Milky Tea,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Oct 20,N/A
"Pilot Sports
",NS,Sports,EuroVideo Medien,Z-Software GmbH,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 18,02nd Nov 18,2018
"NCAA Football 09 All-Play
",Wii,Sports,EA Sports,Team Fusion,3,5.3,N/A,N/A,0.16,0.15,N/A,N/A,0.01,15th Jul 08,N/A,2008
"Nintendo Switch Sports
",NS,Sports,Nintendo,Nintendo,3,N/A,N/A,8.61,N/A,N/A,N/A,N/A,N/A,29th Apr 22,09th Feb 22,2022
"Go! Sports Ski
",PSN,Sports,Sony Computer Entertainment,Yuke's Future Media Creators,2.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Oct 07,N/A,2007
"Zero Escape: Virtue's Last Reward
",PSV,Visual Novel,Aksys Games,ChunSoft,9,N/A,N/A,N/A,0.00,N/A,0.00,N/A,0.00,23rd Oct 12,25th Apr 19,2012
"NEKOPARA Vol. 1
",PC,Visual Novel,Unknown,Neko Works,7.5,N/A,N/A,0.58,N/A,N/A,N/A,N/A,N/A,N/A,08th Feb 19,N/A
"Synergia
",PS4,Visual Novel,Unknown,Radi Art,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Apr 21,N/A
"London Detective Mysteria
",PSV,Visual Novel,Xseed Games,Karin Entertainment,7,N/A,N/A,N/A,0.01,N/A,N/A,0.01,N/A,18th Dec 18,27th Dec 18,2018
"The Mind's Eclipse
",PC,Visual Novel,Mind's Eclipse Interactive,Unknown,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jan 18,28th Jan 18,2018
"Analogue: A Hate Story
",PC,Visual Novel,Love Conquers All Games,Love Conquers All Games,6.8,N/A,N/A,0.11,N/A,N/A,N/A,N/A,N/A,27th Apr 12,06th Apr 19,2012
"My Aunt is a Witch
",PSV,Visual Novel,Unknown,Sometimes You,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,N/A
"Pantsu Hunter: Back to the 90s
",NS,Visual Novel,Unknown,Ascension Dream,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Aug 19,N/A
"Dull Grey
",PSV,Visual Novel,Unknown,Provodnik Games,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd May 21,N/A
"Chuusotsu! 1st Graduation: Time After Time
",PC,Visual Novel,Unknown,Studio Beast,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Apr 18,N/A
"It Takes Two
",XS,Action-Adventure,Unknown,Hazelight,9.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 21,N/A
"The Last of Us
",PS3,Action-Adventure,Sony Computer Entertainment America,Naughty Dog,9.5,9.5,N/A,8.15,N/A,N/A,N/A,N/A,N/A,14th Jun 13,24th Sep 18,2013
"The Legend of Zelda: The Wind Waker
",WiiU,Action-Adventure,Nintendo,Nintendo EAD,9.3,9.3,N/A,2.36,N/A,N/A,N/A,N/A,N/A,04th Oct 13,20th Mar 18,2013
"Assassin's Creed III
",PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,9.2,8.8,N/A,N/A,6.50,2.65,2.61,0.16,1.08,30th Oct 12,12th Apr 18,2012
"Assassin's Creed IV: Black Flag
",PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,9.1,8.7,N/A,N/A,3.94,1.34,1.86,0.13,0.62,29th Oct 13,14th Mar 18,2013
"Darksiders Genesis
",PC,Action-Adventure,THQ Nordic,Airship Syndicate,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Dec 20,08th Jun 19,2020
"Dead Space (2023)
",XS,Action-Adventure,Unknown,Motive Studios,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Jun 22,N/A
"Ori and the Will of the Wisps
",XOne,Action-Adventure,Xbox Game Studios,Moon Studios,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Mar 20,04th Aug 20,2020
"Shadow of the Colossus
",PS4,Action-Adventure,Sony Interactive Entertainment,Bluepoint Games,9,9.3,N/A,N/A,1.20,0.44,0.52,0.05,0.19,06th Feb 18,26th Nov 18,2018
"The Legend of Zelda: Majora's Mask 3D
",3DS,Action-Adventure,Nintendo,GREZZO,9,9,N/A,3.43,N/A,N/A,N/A,N/A,N/A,13th Feb 15,31st Jan 18,2015
"Dishonored: The Brigmore Witches
",PC,Action-Adventure,Unknown,Arkane Studios,8.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Aug 22,N/A
"The Last of Us: Left Behind
",PS3,Action-Adventure,Sony Computer Entertainment,Naughty Dog,8.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th May 15,24th Sep 18,2015
"Sleeping Dogs
",X360,Action-Adventure,Square Enix,United Front Games,8.8,7.9,N/A,N/A,0.87,0.38,0.40,0.01,0.08,14th Aug 12,07th Mar 18,2012
"Terraria
",PS3,Action-Adventure,505 Games,Engine Software,8.8,N/A,N/A,N/A,0.45,0.09,0.21,0.09,0.06,30th Jul 13,19th Mar 18,2013
"Dishonored: Knife of Dunwall
",PC,Action-Adventure,Unknown,Arkane Studios,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Aug 22,N/A
"Watch Dogs
",PS4,Action-Adventure,Ubisoft,Ubisoft Montreal,8.7,N/A,N/A,N/A,4.32,1.40,2.13,0.11,0.68,27th May 14,15th Mar 18,2014
"Cyberpunk 2077
",PS4,Action-Adventure,CD Projekt Red Studio,CD Projekt Red Studio,8.5,N/A,N/A,3.84,N/A,N/A,N/A,N/A,N/A,19th Nov 20,10th Jun 19,2020
"Resident Evil 8: Village
",PS4,Action-Adventure,Capcom,Capcom,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th May 21,09th Apr 21,2021
"Soulstice
",PC,Action-Adventure,Unknown,Reply Game Studios,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Jun 21,N/A
"Yakuza: Like a Dragon
",PS4,Action-Adventure,Sega,Sega,8.5,N/A,N/A,0.45,N/A,N/A,N/A,N/A,N/A,13th Nov 20,05th Nov 19,2020
"Darksiders II
",X360,Action-Adventure,THQ,Vigil Games,8.4,8.6,N/A,N/A,0.79,0.45,0.27,0.00,0.07,14th Aug 12,07th Feb 18,2012
"Gravity Rush
",PSV,Action-Adventure,Sony Computer Entertainment,SCE Japan Studio,8.4,N/A,N/A,N/A,0.60,0.21,0.20,0.09,0.10,12th Jun 12,20th Apr 18,2012
